Name,EUR Notional,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Close Price
DGp,0E-20,0,0,0E-8,10,85.50000000,93.15500000,0E-8
DH2Ol,0E-20,0,0,0E-8,319,62.69000000,0E-8,0E-8
DHSAm,0E-20,0,756,24.36000000,0,0E-8,0E-8,0E-8
DHSDl,0E-20,0,0,0E-8,832,24.08500000,0E-8,0E-8
DHYMx,0E-20,0,1006,4925.00000000,1006,4890.00000000,0E-8,0E-8
DIAa,0E-20,0,60,315.90000000,60,313.45000000,0E-8,0E-8
DIAl,0E-20,0,588,358.00000000,230,336.00000000,0E-8,0E-8
DICd,0E-20,0,0,0E-8,8,12.56000000,0E-8,0E-8
DIVIl,0E-20,0,34,108.00000000,0,0E-8,0E-8,0E-8
DJADd,0E-20,0,139,130.56000000,139,128.67500000,0E-8,0E-8
DJEp,0E-20,0,57,316.65000000,0,0E-8,0E-8,0E-8
DJLEVm,0E-20,0,300,32.92500000,300,32.56000000,0E-8,0E-8
DJMCa,0E-20,0,277,66.51000000,277,65.15000000,0E-8,0E-8
DJMCl,0E-20,0,277,5493.00000000,277,5478.00000000,0E-8,0E-8
DJMCm,0E-20,0,277,66.53000000,0,0E-8,0E-8,0E-8
DKGd,0E-20,0,163,13.00000000,0,0E-8,0E-8,0E-8
DLARl,0E-20,0,613,106.80000000,944,106.20000000,0E-8,0E-8
DPEUl,0E-20,0,0,0E-8,261,53.40000000,0E-8,0E-8
DPWd,0E-20,0,0,0E-8,8,40.00000000,0E-8,0E-8
DRDRl,0E-20,0,2385,646.25000000,2385,645.00000000,0E-8,0E-8
DRVEl,0E-20,0,1521,13.22800000,0,0E-8,0E-8,0E-8
DSBp,0E-20,0,593,30.75600000,593,30.15400000,0E-8,0E-8
DSDp,0E-20,0,58900,1.56060000,58900,1.53780000,0E-8,0E-8
DSUSl,0E-20,0,0,0E-8,38,73.00000000,0E-8,0E-8
DSUSm,0E-20,0,250,73.37000000,250,71.55000000,0E-8,0E-8
DSUSp,0E-20,0,250,73.13000000,250,71.52000000,0E-8,0E-8
DTEd,0E-20,0,229,18.80000000,6284,16.90000000,0E-8,0E-8
DTGd,0E-20,0,85,38.60000000,12,22.60000000,0E-8,0E-8
DTMXx,0E-20,0,1006,4539.00000000,1006,4532.50000000,0E-8,0E-8
DUEd,0E-20,0,8,43.90000000,42,21.50000000,0E-8,0E-8
