Name,EUR Notional,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Close Price
DBKd,57022153.178957000000,4816656,,,,,11.67400000,0.0
AZNl,56826088.463491722600,475168,,,,,10150.00000000,0.0
SNNl,56034854.026806108500,5225606,,,,,907.00000000,0.0
CPGl,55480725.081773474400,2915312,,,,,1602.00000000,0.0
BATSl,54038794.341037102600,1411899,,,,,3234.00000000,0.0
BNPp,54004537.339309000000,1050323,,,,,50.82000000,0.0
VOW3d,52217469.383777000000,330017,,,,,157.46000000,0.0
CFRz,50595751.627834002153,440830,,,,,118.95000000,0.0
NESTEh,50401171.280613000000,1208995,,,,,41.50000000,0.0
LINd,50267739.189117000000,172848,,,,,288.75000000,0.0
0KZCl,48918906.790626131017,119762,,,,,451.93000000,0.0
BMWd,48137601.363731000000,607705,,,,,78.60000000,0.0
EUN5d,47991489.900000000000,380000,,,,,126.29361000,0.0
ULVRl,45171745.098488513900,1082044,,,,,3525.50000000,0.0
SHELl,44893520.091762505200,1790775,,,,,2106.50000000,0.0
MRKd,44675910.780037000000,235787,,,,,188.37500000,0.0
TOTBd,44228501.896026000000,948353,,,,,46.52500000,0.0
VIVp,43239753.936722000000,3640769,,,,,11.98500000,0.0
KPNa,43231147.781262000000,13588069,,,,,3.21100000,0.0
SAFp,43081038.874062000000,402488,,,,,106.10000000,0.0
ABIb,42813506.194992000000,779205,,,,,55.41000000,0.0
KERp,42753526.596112000000,74542,,,,,576.40000000,0.0
HEIAa,41749386.009394000000,483740,,,,,86.02710000,0.0
MUV2d,41320020.801425000000,170517,,,,,239.30000000,0.0
STMm,40527310.714956000000,1044441,,,,,38.49000000,0.0
ITXe,39828817.848350000000,1989939,,,,,19.59750000,0.0
DGEl,38695421.954944500600,839334,,,,,3892.00000000,0.0
STLAm,38291561.410502000000,2585904,,,,,14.69600000,0.0
RKTl,38277942.421621047000,537370,,,,,5966.00000000,0.0
KOGOs,37977960.314830380428,1039726,,,,,356.60000000,0.0
TSCOl,37707408.196512234800,11404294,,,,,281.90000000,0.0
ACAp,37064339.038363000000,3392954,,,,,10.78400000,0.0
1COVd,36439855.493834000000,794091,,,,,45.86000000,0.0
CONd,36431338.908716000000,548263,,,,,65.70000000,0.0
GLENl,36311043.921987699800,6041353,,,,,507.50000000,0.0
ABBNz,36221926.102902026035,1222710,,,,,29.67000000,0.0
ZALd,35657337.856307000000,752036,,,,,48.23000000,0.0
ENELm,35572988.659667000000,5822340,,,,,6.08750000,0.0
VODl,35448153.635634119700,23656427,,,,,125.35000000,0.0
RYAi,35072057.870768000000,2567896,,,,,13.32000000,0.0
ANAe,35068568.505915000000,199566,,,,,177.20000000,0.0
FERGl,34724743.818846336700,286014,,,,,10185.00000000,0.0
GSKl,34646627.630256165000,1761656,,,,,1659.68550000,0.0
RNOp,34466905.324870000000,1425331,,,,,23.93000000,0.0
ADSd,34332334.347434000000,163141,,,,,207.75000000,0.0
ENGIp,33703089.824572000000,2806275,,,,,12.02800000,0.0
SRT3d,33490138.050741000000,84526,,,,,403.40000000,0.0
FRp,33457881.601160000000,2000661,,,,,16.76500000,0.0
ENRd,33241049.644575000000,1592832,,,,,20.44000000,0.0
BPl,33075868.616361815900,7382574,,,,,375.95000000,0.0
RIOl,32741269.451528302300,444762,,,,,6163.00000000,0.0
SWp,32519050.507851000000,477986,,,,,66.38000000,0.0
DB1d,32465058.237060000000,197328,,,,,163.25000000,0.0
SXRJd,32411730.000000000000,123000,,,,,263.51000000,0.0
INGAa,32398752.778199000000,3368618,,,,,9.56900000,0.0
RWEd,31921302.510956000000,809407,,,,,39.25000000,0.0
BHPl,31692873.290253241400,888125,,,,,3003.50000000,0.0
TELOs,31667717.824093740945,2395105,,,,,127.95000000,0.0
EOANd,31517340.018336000000,3011447,,,,,10.47750000,0.0
KNEBVh,31096314.010168000000,657956,,,,,46.75000000,0.0
AIp,31072806.112899000000,194993,,,,,159.32000000,0.0
AALl,30904630.804258220900,640099,,,,,4055.50000000,0.0
HFGd,30843932.482457000000,732014,,,,,43.11670000,0.0
